Ai	Aj	Bi	Bj	length	distance	complex	cov	mfe	comp	p-value	shapeA	shapeB	length_ex	mfe_ex	comp_ex	p-value_ex	Aseg	Bseg	Aseg_i	Aseg_j	Bseg_i	Bseg_j
259	266	10364	10371	8	10098	0.71	10	-11.34	0.18	0.015613353094048987	-100	-100	15	-14.42	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	259	266	1139	1146
261	269	7044	7052	9	6775	0.68	10	-13.05	0.24	0.019162008366980787	-100	-100	16	-13.74	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	261	269	2122	2130
277	285	9680	9688	9	9395	0.88	10	-17.45	0.19	0.017184446460500213	-100	-100	15	-25.48	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	277	285	455	463
278	284	9794	9800	7	9510	0.85	10	-12.42	0.23	0.03223366140123807	-100	-100	14	-15.43	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	278	284	569	575
280	284	5145	5149	5	4861	0.82	10	-10.26	0.16	0.010610048746825584	-100	-100	15	-20.43	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	280	284	223	227
280	285	7034	7039	6	6749	0.82	10	-12.11	0.18	0.03953264803552059	-100	-100	13	-12.79	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	280	285	2112	2117
280	286	4937	4943	7	4651	0.84	8	-12.5	0.19	0.010855330133297314	-100	-100	12	-17.14	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	280	286	15	21
280	286	9436	9442	7	9150	0.88	10	-13.23	0.24	0.010923855432642848	-100	-100	11	-12.8	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	280	286	211	217
280	286	9662	9668	7	9376	0.91	10	-10.62	0.19	0.04968666628945306	-100	-100	18	-21.67	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	280	286	437	443
290	296	9245	9251	7	8949	0.93	8	-13.24	0.19	0.015330519499990536	-100	-100	19	-27.91	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	290	296	20	26
290	300	13399	13409	11	13099	0.85	10	-14.91	0.23	0.01573254877025987	-100	-100	13	-14.77	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	290	300	867	877
292	299	10540	10547	8	10241	0.85	10	-12.92	0.2	0.019778089983006453	-100	-100	14	-15.41	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	292	299	1315	1322
292	303	4456	4467	12	4153	0.87	10	-18.23	0.23	0.023231315693042265	-100	-100	17	-24.05	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	292	303	1995	2006
296	302	4164	4170	7	3862	0.89	10	-11.72	0.24	0.04177296952410292	-100	-100	13	-12.09	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	296	302	1703	1709
297	304	13788	13795	8	13484	0.79	10	-17.88	0.21	0.014994115236285244	-100	-100	19	-27.4	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	297	304	109	116
299	305	9837	9843	7	9532	0.82	10	-12.12	0.21	0.047983090288057806	-100	-100	15	-18.16	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	299	305	612	618
301	305	6057	6061	5	5752	0.8	10	-10.52	0.19	0.04394614993628021	-100	-100	13	-25.25	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	301	305	1135	1139
301	305	6057	6061	5	5752	0.8	10	-10.52	0.19	0.0340746202061899	-100	-100	13	-25.25	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	301	305	1135	1139
301	305	9837	9841	5	9532	0.82	10	-10.57	0.21	0.023343724612586048	-100	-100	15	-17.97	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	301	305	612	616
304	308	3182	3186	5	2874	0.74	10	-10.05	0.2	0.02240635592947393	-100	-100	12	-12.79	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	304	308	721	725
304	308	4523	4527	5	4215	0.69	10	-10.02	0.27	0.03152884394348754	-100	-100	16	-19.66	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	304	308	2062	2066
304	308	10069	10073	5	9761	0.78	10	-10.09	0.23	0.03054645667377609	-100	-100	12	-14.03	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	304	308	844	848
304	308	10312	10316	5	10004	0.73	10	-10.65	0.2	0.02750949731652219	-100	-100	11	-14.36	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	304	308	1087	1091
304	308	10333	10337	5	10025	0.73	10	-10.74	0.22	0.039531455955239214	-100	-100	14	-17.89	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	304	308	1108	1112
304	308	13426	13430	5	13118	0.7	10	-10.29	0.23	0.0469491167341185	-100	-100	16	-24.61	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	304	308	894	898
304	309	4264	4269	6	3955	0.74	10	-10.98	0.27	0.04997492133824066	-100	-100	15	-17.23	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	304	309	1803	1808
304	309	5498	5503	6	5189	0.75	10	-12.99	0.3	0.03765161104610015	-100	-100	18	-21.07	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	304	309	576	581
304	310	9545	9551	7	9235	0.76	10	-13.01	0.23	0.04498065486860392	-100	-100	11	-17.03	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	304	310	320	326
304	311	3302	3309	8	2991	0.73	10	-14.75	0.23	0.02704660373099954	-100	-100	18	-21.31	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	304	311	841	848
308	314	2951	2957	7	2637	0.86	10	-14.02	0.21	0.01943494498923448	-100	-100	18	-22.29	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	308	314	490	496
308	315	13109	13116	8	12794	0.87	10	-14.34	0.24	0.0333411595894626	-100	-100	19	-28.17	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	308	315	577	584
310	314	6285	6289	5	5971	0.94	10	-10.73	0.17	0.029099277525906686	-100	-100	19	-29.37	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	310	314	1363	1367
310	314	9446	9450	5	9132	0.94	10	-10.74	0.16	0.028078311818001245	-100	-100	13	-14.74	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	310	314	221	225
310	314	10196	10200	5	9882	0.87	10	-11.08	0.21	0.02701780520527275	-100	-100	14	-24.37	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	310	314	971	975
310	314	13482	13486	5	13168	0.97	10	-10.7	0.19	0.02076331304141832	-100	-100	17	-22.51	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	310	314	950	954
310	315	2573	2578	6	2258	0.91	10	-12.36	0.18	0.028223353980538102	-100	-100	15	-27.19	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	310	315	112	117
315	321	6625	6631	7	6304	0.8	10	-10.6	0.23	0.024188023267530778	-100	-100	14	-14.44	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	315	321	1703	1709
317	322	4634	4639	6	4312	0.76	10	-10.72	0.22	0.042049411483575216	-100	-100	13	-16.47	0.26	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	317	322	2173	2178
317	323	2599	2605	7	2276	0.76	10	-15.16	0.21	0.01995008406627341	-100	-100	15	-26.92	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	317	323	138	144
317	323	7404	7410	7	7081	0.79	10	-12.24	0.23	0.026036807863873745	-100	-100	7	-11.1	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	317	323	128	134
317	324	10541	10548	8	10217	0.76	10	-12.41	0.22	0.023771097893085624	-100	-100	13	-23.14	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	317	324	1316	1323
318	325	5472	5479	8	5147	0.76	10	-11.5	0.23	0.03954155979484664	-100	-100	18	-27.68	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	318	325	550	557
318	330	4722	4734	13	4392	0.73	10	-25.39	0.2	0.010478231530203441	-100	-100	21	-32.7	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	318	330	2261	2273
319	323	3778	3782	5	3455	0.64	10	-10.27	0.17	0.03665549267363566	-100	-100	9	-12.4	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	319	323	1317	1321
319	323	5737	5741	5	5414	0.75	10	-11.22	0.2	0.046632662079243326	-100	-100	9	-11.48	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	319	323	815	819
319	325	10345	10351	7	10020	0.79	10	-12.98	0.2	0.01950371942295026	-100	-100	12	-15.58	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	319	325	1120	1126
319	326	3971	3978	8	3645	0.81	10	-10.83	0.21	0.02378646442642951	-100	-100	17	-16.83	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	319	326	1510	1517
332	338	14010	14016	7	13672	0.78	10	-11.94	0.21	0.03180450370164234	-100	-100	14	-16.35	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	332	338	331	337
333	338	4433	4438	6	4095	0.69	10	-15.97	0.22	0.035537413907135496	-100	-100	12	-20.6	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	333	338	1972	1977
350	355	4247	4252	6	3892	0.83	10	-11.26	0.27	0.023003590243062644	-100	-100	11	-12.57	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	350	355	1786	1791
350	355	12774	12779	6	12419	0.89	10	-12.78	0.22	0.017627900999842905	-100	-100	12	-12.87	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	350	355	242	247
352	356	12271	12275	5	11915	0.82	10	-10.51	0.21	0.02103597418865122	-100	-100	7	-11.41	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	352	356	1361	1365
352	358	2646	2652	7	2288	0.79	10	-11.72	0.25	0.018677650492418207	-100	-100	10	-18.08	0.26	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	352	358	185	191
352	358	2839	2845	7	2481	0.78	10	-10.94	0.26	0.021731057663505582	-100	-100	12	-12.07	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	352	358	378	384
352	358	6046	6052	7	5688	0.78	10	-12.0	0.26	0.022537747893961013	-100	-100	12	-13.89	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	352	358	1124	1130
352	359	9983	9990	8	9624	0.8	10	-11.38	0.23	0.02842675208147938	-100	-100	15	-13.26	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	352	359	758	765
393	399	5515	5521	7	5116	0.69	10	-11.32	0.19	0.014182501695881422	-100	-100	15	-16.88	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	393	399	593	599
394	399	10177	10182	6	9778	0.62	10	-10.03	0.16	0.00986118285771509	-100	-100	14	-13.35	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	394	399	952	957
406	412	12882	12888	7	12470	0.67	10	-10.65	0.18	0.022910629988636244	-100	-100	15	-17.18	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	406	412	350	356
413	419	6820	6826	7	6401	0.59	10	-13.69	0.18	0.024511015506455958	-100	-100	14	-17.24	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	413	419	1898	1904
413	419	10349	10355	7	9930	0.66	10	-12.31	0.18	0.0387370831169741	-100	-100	14	-14.04	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	413	419	1124	1130
